# LogExposure,DensityR,DensityG,DensityB
-1.984314,0.137973,0.427160,0.728502
-1.956863,0.139631,0.426026,0.730906
-1.929412,0.141097,0.425010,0.731761
-1.901961,0.141482,0.424356,0.731621
-1.874510,0.141563,0.424856,0.729693
-1.847059,0.142091,0.425685,0.730847
-1.819608,0.142082,0.425518,0.734771
-1.792157,0.142387,0.427451,0.735095
-1.764706,0.143673,0.431629,0.735267
-1.737255,0.145821,0.430648,0.735312
-1.709804,0.147372,0.429733,0.736196
-1.682353,0.148903,0.429840,0.738484
-1.654902,0.150380,0.431451,0.739861
-1.627451,0.150299,0.433910,0.741292
-1.600000,0.152890,0.434199,0.743038
-1.572549,0.155766,0.434370,0.744407
-1.545098,0.158454,0.434446,0.745312
-1.517647,0.159456,0.435334,0.748055
-1.490196,0.161939,0.437636,0.750901
-1.462745,0.164640,0.438324,0.752665
-1.435294,0.166831,0.439097,0.755155
-1.407843,0.168562,0.441179,0.758062
-1.380392,0.171855,0.443546,0.761113
-1.352941,0.176903,0.446015,0.764524
-1.325490,0.180987,0.448571,0.768169
-1.298039,0.184693,0.451182,0.771814
-1.270588,0.188972,0.454887,0.775459
-1.243137,0.193976,0.460476,0.779824
-1.215686,0.198246,0.466148,0.785240
-1.188235,0.203683,0.471807,0.790817
-1.160784,0.209247,0.477292,0.796438
-1.133333,0.214714,0.480490,0.802153
-1.105882,0.221121,0.484640,0.808665
-1.078431,0.227793,0.489848,0.816001
-1.050980,0.234867,0.496100,0.823660
-1.023529,0.242599,0.503830,0.832024
-0.996078,0.250534,0.513134,0.841343
-0.968627,0.258910,0.524534,0.851439
-0.941176,0.268714,0.536204,0.862075
-0.913725,0.280166,0.547898,0.873291
-0.886275,0.292624,0.560166,0.886476
-0.858824,0.305438,0.584488,0.900836
-0.831373,0.318777,0.588537,0.914188
-0.803922,0.331266,0.608516,0.927611
-0.776471,0.343517,0.623130,0.942003
-0.749020,0.355769,0.637798,0.958140
-0.721569,0.366821,0.652569,0.976449
-0.694118,0.378228,0.667625,0.989044
-0.666667,0.390889,0.682950,1.001599
-0.639216,0.402525,0.697869,1.016922
-0.611765,0.415460,0.712951,1.034005
-0.584314,0.428251,0.729049,1.052062
-0.556863,0.440148,0.744587,1.066841
-0.529412,0.452132,0.759802,1.081456
-0.501961,0.465765,0.775573,1.096570
-0.474510,0.479074,0.791379,1.112321
-0.447059,0.491697,0.806553,1.129253
-0.419608,0.504228,0.822662,1.142517
-0.392157,0.516795,0.841430,1.156157
-0.364706,0.529983,0.859684,1.177274
-0.337255,0.543700,0.872645,1.196594
-0.309804,0.556871,0.885948,1.214679
-0.282353,0.569837,0.902628,1.231753
-0.254902,0.582850,0.917838,1.249374
-0.227451,0.596633,0.932994,1.268025
-0.200000,0.610415,0.950242,1.286896
-0.172549,0.624502,0.967398,1.305812
-0.145098,0.640494,0.984308,1.324472
-0.117647,0.653677,1.001210,1.343331
-0.090196,0.667903,1.018107,1.363627
-0.062745,0.682896,1.035619,1.383565
-0.035294,0.698304,1.053223,1.403111
-0.007843,0.712554,1.070238,1.422084
0.019608,0.726706,1.086535,1.441165
0.047059,0.741377,1.102538,1.466164
0.074510,0.757884,1.118953,1.481790
0.101961,0.773557,1.135661,1.493771
0.129412,0.789107,1.152899,1.514926
0.156863,0.805415,1.170891,1.537931
0.184314,0.821589,1.189054,1.559263
0.211765,0.837382,1.207008,1.577233
0.239216,0.853539,1.224676,1.595356
0.266667,0.869404,1.241467,1.614599
0.294118,0.885189,1.259024,1.632954
0.321569,0.901697,1.276969,1.650932
0.349020,0.918368,1.293928,1.668829
0.376471,0.935041,1.311145,1.686773
0.403922,0.951761,1.329296,1.706532
0.431373,0.969176,1.346581,1.724608
0.458824,0.986910,1.363520,1.741236
0.486275,1.004638,1.381806,1.758811
0.513725,1.021787,1.400163,1.776449
0.541176,1.038861,1.418257,1.793568
0.568627,1.056060,1.434529,1.809590
0.596078,1.069853,1.449150,1.822703
0.623529,1.092286,1.464583,1.845416
0.650980,1.106101,1.483053,1.868046
0.678431,1.127348,1.502709,1.882292
0.705882,1.143817,1.522519,1.899512
0.733333,1.161627,1.542097,1.917571
0.760784,1.179701,1.559426,1.932466
0.788235,1.197160,1.576796,1.948929
0.815686,1.215211,1.594836,1.971173
0.843137,1.233712,1.613442,1.988879
0.870588,1.252438,1.632317,2.005671
0.898039,1.270532,1.650204,2.022502
0.925490,1.287490,1.668237,2.039468
0.952941,1.304512,1.686746,2.059190
0.980392,1.322438,1.704948,2.078177
1.007843,1.338669,1.722885,2.096543
1.035294,1.355844,1.741679,2.114436
1.062745,1.373234,1.760194,2.131922
1.090196,1.389808,1.774038,2.148142
1.117647,1.408595,1.793803,2.166843
1.145098,1.424871,1.813718,2.187020
1.172549,1.439350,1.828934,2.204598
1.200000,1.455483,1.846594,2.222275
1.227451,1.479029,1.863883,2.240040
1.254902,1.490456,1.882061,2.257823
1.282353,1.503068,1.900733,2.275753
1.309804,1.519229,1.919516,2.294122
1.337255,1.538807,1.937784,2.312666
1.364706,1.555392,1.951224,2.331261
1.392157,1.571607,1.970588,2.349598
1.419608,1.587677,1.992566,2.367635
1.447059,1.603680,2.012654,2.385955
1.474510,1.619844,2.031547,2.404682
1.501961,1.636009,2.049626,2.424316
1.529412,1.652286,2.067803,2.443423
1.556863,1.669456,2.086203,2.462047
1.584314,1.686128,2.106142,2.479705
1.611765,1.703030,2.127079,2.498126
1.639216,1.719916,2.148271,2.519503
1.666667,1.736208,2.165403,2.538623
1.694118,1.752699,2.182984,2.557652
1.721569,1.769175,2.201771,2.576593
1.749020,1.785415,2.220807,2.595410
1.776471,1.800443,2.239783,2.614213
1.803922,1.816018,2.258577,2.633990
1.831373,1.832710,2.277372,2.653268
