# LogExposure,DensityR,DensityG,DensityB
-2.094118,0.173160,0.687816,0.949265
-2.066667,0.172905,0.687199,0.949073
-2.039216,0.172492,0.686612,0.948477
-2.011765,0.172455,0.685976,0.948469
-1.984314,0.172195,0.685398,0.948469
-1.956863,0.171718,0.684873,0.948469
-1.929412,0.171718,0.684318,0.948469
-1.901961,0.171718,0.683833,0.948026
-1.874510,0.171718,0.683411,0.947742
-1.847059,0.171718,0.683008,0.947742
-1.819608,0.172193,0.682642,0.947742
-1.792157,0.172380,0.682365,0.947773
-1.764706,0.172539,0.682091,0.947939
-1.737255,0.172925,0.681808,0.948446
-1.709804,0.173312,0.681801,0.948407
-1.682353,0.173719,0.681801,0.948741
-1.654902,0.174250,0.681801,0.949244
-1.627451,0.174879,0.681801,0.949664
-1.600000,0.175552,0.682029,0.950186
-1.572549,0.176280,0.682409,0.950889
-1.545098,0.177116,0.682698,0.951703
-1.517647,0.178039,0.683209,0.952567
-1.490196,0.179037,0.683793,0.953553
-1.462745,0.180105,0.684440,0.954765
-1.435294,0.181271,0.685249,0.956124
-1.407843,0.182594,0.686205,0.957562
-1.380392,0.183963,0.687295,0.959159
-1.352941,0.185402,0.688522,0.961031
-1.325490,0.187055,0.689922,0.963110
-1.298039,0.188773,0.691487,0.965381
-1.270588,0.190597,0.693260,0.967850
-1.243137,0.192611,0.695289,0.970591
-1.215686,0.194750,0.697572,0.973670
-1.188235,0.197007,0.700102,0.977080
-1.160784,0.199482,0.702930,0.980800
-1.133333,0.202191,0.706170,0.984887
-1.105882,0.204993,0.709879,0.989455
-1.078431,0.208044,0.714086,0.994522
-1.050980,0.211436,0.718893,1.000174
-1.023529,0.215091,0.724553,1.006557
-0.996078,0.219474,0.731244,1.013651
-0.968627,0.225041,0.739320,1.021804
-0.941176,0.231592,0.748303,1.031003
-0.913725,0.238925,0.757806,1.040848
-0.886275,0.247134,0.767857,1.051089
-0.858824,0.256042,0.778466,1.061647
-0.831373,0.265496,0.789493,1.072573
-0.803922,0.275536,0.800809,1.083853
-0.776471,0.286158,0.812464,1.095398
-0.749020,0.297289,0.824473,1.107358
-0.721569,0.308841,0.836761,1.119887
-0.694118,0.320777,0.849329,1.132751
-0.666667,0.333066,0.862118,1.146036
-0.639216,0.345711,0.875189,1.159497
-0.611765,0.358692,0.888565,1.172722
-0.584314,0.371998,0.901892,1.186431
-0.556863,0.385545,0.915334,1.200589
-0.529412,0.399335,0.929341,1.214910
-0.501961,0.413462,0.943379,1.229497
-0.474510,0.427799,0.957561,1.244420
-0.447059,0.442294,0.971903,1.259705
