# LogExposure,DensityR,DensityG,DensityB
-1.929412,0.136827,0.410675,0.728075
-1.901961,0.137067,0.411404,0.728189
-1.874510,0.138758,0.411624,0.728303
-1.847059,0.139976,0.411869,0.728553
-1.819608,0.140775,0.412213,0.730156
-1.792157,0.142581,0.413416,0.731309
-1.764706,0.144586,0.415108,0.732335
-1.737255,0.146634,0.415780,0.733362
-1.709804,0.148705,0.417391,0.734443
-1.682353,0.150883,0.419330,0.736100
-1.654902,0.153439,0.421268,0.737880
-1.627451,0.156295,0.423212,0.739739
-1.600000,0.159174,0.425349,0.741755
-1.572549,0.162474,0.427708,0.743881
-1.545098,0.166051,0.430529,0.746164
-1.517647,0.169608,0.433812,0.748690
-1.490196,0.173411,0.437353,0.751537
-1.462745,0.177741,0.441065,0.754619
-1.435294,0.182171,0.445130,0.758074
-1.407843,0.186627,0.449675,0.761863
-1.380392,0.191257,0.454475,0.765796
-1.352941,0.196229,0.459769,0.770026
-1.325490,0.201564,0.465771,0.774921
-1.298039,0.207111,0.472195,0.780210
-1.270588,0.212852,0.479009,0.785808
-1.243137,0.218929,0.486391,0.792009
-1.215686,0.225164,0.494600,0.798871
-1.188235,0.231503,0.503749,0.806254
-1.160784,0.238219,0.513730,0.814216
-1.133333,0.245397,0.524370,0.823073
-1.105882,0.252748,0.535592,0.832988
-1.078431,0.260250,0.547827,0.843859
-1.050980,0.267982,0.560991,0.855416
-1.023529,0.276000,0.574798,0.868232
-0.996078,0.284433,0.588727,0.882155
-0.968627,0.293233,0.602431,0.896550
-0.941176,0.302260,0.616151,0.911816
-0.913725,0.311492,0.630587,0.928136
-0.886275,0.320966,0.646602,0.944878
-0.858824,0.330907,0.663765,0.961759
-0.831373,0.341482,0.681198,0.978911
-0.803922,0.353008,0.699012,0.996179
-0.776471,0.365498,0.717135,1.013568
-0.749020,0.378922,0.735455,1.031330
-0.721569,0.392862,0.753823,1.049814
-0.694118,0.407159,0.771933,1.068663
-0.666667,0.422008,0.790175,1.087677
-0.639216,0.437181,0.808653,1.106805
-0.611765,0.452394,0.827239,1.126096
-0.584314,0.467722,0.845821,1.145500
-0.556863,0.483555,0.864298,1.164964
-0.529412,0.499725,0.882775,1.184519
-0.501961,0.515921,0.901252,1.204137
-0.474510,0.532116,0.919893,1.223754
-0.447059,0.548312,0.938775,1.243371
-0.419608,0.564910,0.957480,1.263148
-0.392157,0.581579,0.976185,1.283014
-0.364706,0.598073,0.994890,1.302703
-0.337255,0.614900,1.013659,1.322625
-0.309804,0.631966,1.032489,1.342738
-0.282353,0.649085,1.051062,1.362700
-0.254902,0.666151,1.069738,1.382660
-0.227451,0.683129,1.088578,1.402619
-0.200000,0.700172,1.107302,1.422529
-0.172549,0.717324,1.126019,1.442351
-0.145098,0.734635,1.144960,1.462415
-0.117647,0.752037,1.163851,1.482458
-0.090196,0.769505,1.182656,1.502417
-0.062745,0.786757,1.201565,1.522377
-0.035294,0.804027,1.220496,1.542336
-0.007843,0.821591,1.239305,1.562481
0.019608,0.839151,1.258168,1.582667
0.047059,0.856710,1.277119,1.602714
0.074510,0.874357,1.295949,1.622879
0.101961,0.892049,1.314787,1.643067
0.129412,0.909727,1.333720,1.663255
0.156863,0.927381,1.352653,1.683430
0.184314,0.944919,1.371586,1.703478
0.211765,0.962532,1.390434,1.723623
0.239216,0.980270,1.409263,1.743818
0.266667,0.998340,1.428196,1.763876
0.294118,1.016228,1.447129,1.784002
0.321569,1.034021,1.466062,1.804189
0.349020,1.051813,1.485084,1.824377
0.376471,1.069612,1.504117,1.844565
0.403922,1.087660,1.523050,1.864752
0.431373,1.105582,1.541984,1.884937
0.458824,1.123342,1.560917,1.905115
0.486275,1.141337,1.579850,1.925378
0.513725,1.159350,1.598783,1.945693
0.541176,1.177242,1.617716,1.965995
0.568627,1.195239,1.636649,1.986284
0.596078,1.213415,1.655582,2.006457
0.623529,1.231257,1.674599,2.026552
0.650980,1.249102,1.693644,2.046630
0.678431,1.267552,1.712562,2.066937
0.705882,1.285595,1.731553,2.087200
0.733333,1.303327,1.750613,2.107373
0.760784,1.321555,1.769557,2.127658
0.788235,1.339787,1.788519,2.147947
0.815686,1.357929,1.807740,2.168135
0.843137,1.375934,1.826736,2.188322
0.870588,1.393803,1.845669,2.208510
0.898039,1.412123,1.864602,2.228776
0.925490,1.430491,1.883545,2.249074
0.952941,1.448752,1.902625,2.269262
0.980392,1.466701,1.921590,2.289450
1.007843,1.484287,1.940523,2.309637
1.035294,1.502625,1.959456,2.329825
1.062745,1.520976,1.978407,2.350012
1.090196,1.539235,1.997607,2.370200
1.117647,1.557227,2.016726,2.390420
1.145098,1.574958,2.035756,2.410755
1.172549,1.593304,2.054689,2.430952
1.200000,1.611652,2.073622,2.451140
1.227451,1.629912,2.092555,2.471327
1.254902,1.647964,2.111535,2.491480
1.282353,1.665827,2.130607,2.511521
1.309804,1.684084,2.149539,2.531790
1.337255,1.702264,2.168519,2.552078
1.364706,1.720285,2.187728,2.572266
1.392157,1.738226,2.206729,2.592453
1.419608,1.756124,2.225652,2.612641
1.447059,1.774360,2.244719,2.632828
1.474510,1.792515,2.263710,2.653012
1.501961,1.810210,2.282643,2.673069
1.529412,1.828414,2.301576,2.693200
1.556863,1.846793,2.320509,2.713404
1.584314,1.864844,2.339668,2.733481
1.611765,1.882800,2.358766,2.753555
1.639216,1.900693,2.377674,2.773628
1.666667,1.918683,2.396697,2.793702
1.694118,1.936707,2.415743,2.813776
1.721569,1.954635,2.434670,2.833849
1.749020,1.972488,2.453638,2.853923
1.776471,1.990266,2.472701,2.873996
1.803922,2.008163,2.491668,2.894070
1.831373,2.026041,2.510599,2.914143
1.858824,2.043719,2.529745,2.933419
