# LogExposure,DensityR,DensityG,DensityB
-1.874510,0.215910,0.639638,0.864029
-1.847059,0.216997,0.640283,0.867000
-1.819608,0.218086,0.640896,0.869688
-1.792157,0.219042,0.640831,0.872161
-1.764706,0.219857,0.640924,0.872838
-1.737255,0.220139,0.641575,0.872838
-1.709804,0.220618,0.642186,0.872838
-1.682353,0.221501,0.642600,0.872838
-1.654902,0.222472,0.643136,0.872999
-1.627451,0.223499,0.644086,0.874338
-1.600000,0.224774,0.645278,0.876234
-1.572549,0.226567,0.646681,0.878731
-1.545098,0.228580,0.648349,0.882126
-1.517647,0.230717,0.650407,0.886271
-1.490196,0.233109,0.652757,0.890848
-1.462745,0.235912,0.655522,0.895968
-1.435294,0.238995,0.658780,0.901885
-1.407843,0.242430,0.662669,0.909168
-1.380392,0.246244,0.667086,0.917561
-1.352941,0.250623,0.671994,0.927200
-1.325490,0.255445,0.677335,0.938102
-1.298039,0.260905,0.683251,0.949893
-1.270588,0.267141,0.689854,0.962540
-1.243137,0.274129,0.697298,0.975745
-1.215686,0.281572,0.705381,0.989448
-1.188235,0.289605,0.714170,1.004046
-1.160784,0.298613,0.723822,1.019958
-1.133333,0.308495,0.734211,1.036789
-1.105882,0.318830,0.745152,1.054154
-1.078431,0.329731,0.756711,1.071600
-1.050980,0.341560,0.769076,1.089194
-1.023529,0.354078,0.782269,1.106791
-0.996078,0.367041,0.796173,1.123894
-0.968627,0.380268,0.810561,1.139814
-0.941176,0.393865,0.825414,1.154962
-0.913725,0.407471,0.840583,1.170111
-0.886275,0.421077,0.856057,1.185259
-0.858824,0.434683,0.871900,1.200418
-0.831373,0.448484,0.888135,1.216565
-0.803922,0.462591,0.904371,1.233950
-0.776471,0.476807,0.920608,1.252685
-0.749020,0.491073,0.936845,1.273454
-0.721569,0.505378,0.953168,1.295104
-0.694118,0.519743,0.969496,1.316870
-0.666667,0.534280,0.985637,1.338766
-0.639216,0.548981,1.001792,1.360520
-0.611765,0.563812,1.018085,1.381126
-0.584314,0.578768,1.034474,1.399600
-0.556863,0.593849,1.050997,1.417470
-0.529412,0.609138,1.067487,1.435339
-0.501961,0.624623,1.083863,1.453208
-0.474510,0.640212,1.100066,1.471040
-0.447059,0.655886,1.116101,1.488680
-0.419608,0.671654,1.132185,1.506418
-0.392157,0.687658,1.148340,1.524197
-0.364706,0.703960,1.164472,1.541976
-0.337255,0.720624,1.180564,1.559754
-0.309804,0.737543,1.196488,1.577533
-0.282353,0.754629,1.212362,1.595312
-0.254902,0.772085,1.228235,1.613048
-0.227451,0.789707,1.244109,1.630706
-0.200000,0.807267,1.259928,1.648470
-0.172549,0.824779,1.275554,1.666249
-0.145098,0.842168,1.291389,1.684027
-0.117647,0.859345,1.307359,1.701806
-0.090196,0.876709,1.323406,1.719568
-0.062745,0.894272,1.339461,1.737349
-0.035294,0.911633,1.355516,1.755262
-0.007843,0.928556,1.371571,1.773246
0.019608,0.944821,1.387750,1.791170
0.047059,0.960826,1.404155,1.809150
0.074510,0.976756,1.420280,1.827404
0.101961,0.992618,1.436297,1.845774
0.129412,1.008282,1.452580,1.864098
0.156863,1.023731,1.468933,1.882420
0.184314,1.039042,1.485098,1.900959
0.211765,1.054246,1.501235,1.919605
0.239216,1.069332,1.517470,1.937962
0.266667,1.084373,1.533708,1.956455
0.294118,1.099375,1.549787,1.975500
0.321569,1.114316,1.565826,1.994555
0.349020,1.129024,1.581980,2.013436
0.376471,1.143714,1.598116,2.032278
0.403922,1.158687,1.614107,2.051073
0.431373,1.173644,1.630045,2.069808
0.458824,1.188520,1.646120,2.088435
0.486275,1.203396,1.661728,2.106937
0.513725,1.218272,1.676876,2.125332
0.541176,1.233152,1.692026,2.143776
0.568627,1.248301,1.707247,2.162287
0.596078,1.263713,1.722263,2.180782
0.623529,1.279209,1.736878,2.199216
0.650980,1.294755,1.751431,2.217496
0.678431,1.310352,1.766035,2.235495
0.705882,1.326004,1.780646,2.253610
0.733333,1.342003,1.795349,2.271895
0.760784,1.357595,1.810044,2.289948
0.788235,1.372320,1.824664,2.307694
0.815686,1.386673,1.839159,2.325359
0.843137,1.400957,1.853340,2.342888
0.870588,1.415019,1.867678,2.360001
0.898039,1.428972,1.882286,2.376828
0.925490,1.442956,1.896539,2.393595
0.952941,1.456970,1.910568,2.410290
0.980392,1.471245,1.924682,2.426704
1.007843,1.485577,1.938862,2.442999
