# LogExposure,DensityR,DensityG,DensityB
-1.901961,0.254097,0.659610,0.992742
-1.874510,0.254050,0.659506,0.993177
-1.847059,0.254842,0.660395,0.991645
-1.819608,0.256621,0.662274,0.988665
-1.792157,0.258278,0.664053,0.984649
-1.764706,0.258888,0.665095,0.979863
-1.737255,0.259819,0.666295,0.975103
-1.709804,0.261726,0.668170,0.970748
-1.682353,0.263678,0.670343,0.966673
-1.654902,0.265487,0.672681,0.963274
-1.627451,0.267297,0.675256,0.961426
-1.600000,0.269467,0.678274,0.961457
-1.572549,0.272113,0.681834,0.963188
-1.545098,0.274863,0.685762,0.965810
-1.517647,0.277967,0.690162,0.969061
-1.490196,0.281772,0.695063,0.973279
-1.462745,0.286189,0.700581,0.978211
-1.435294,0.290786,0.706639,0.983863
-1.407843,0.295617,0.713328,0.990084
-1.380392,0.301079,0.720732,0.996984
-1.352941,0.307360,0.728758,1.004435
-1.325490,0.313963,0.737296,1.012396
-1.298039,0.320842,0.746249,1.020832
-1.270588,0.328475,0.755834,1.029739
-1.243137,0.336993,0.765948,1.039216
-1.215686,0.346030,0.776468,1.049372
-1.188235,0.355333,0.787256,1.060220
-1.160784,0.364976,0.798351,1.071573
-1.133333,0.375082,0.809803,1.083295
-1.105882,0.385722,0.821551,1.095743
-1.078431,0.396864,0.833580,1.109020
-1.050980,0.408645,0.846059,1.122761
-1.023529,0.420940,0.859145,1.136740
-0.996078,0.433359,0.872379,1.151064
-0.968627,0.445843,0.884961,1.165897
-0.941176,0.458484,0.897649,1.181452
-0.913725,0.471684,0.911694,1.197706
-0.886275,0.485780,0.926250,1.214064
-0.858824,0.500436,0.940832,1.230373
-0.831373,0.515253,0.955462,1.246775
-0.803922,0.529732,0.970311,1.263828
-0.776471,0.544088,0.985423,1.280957
-0.749020,0.558679,1.000767,1.298085
-0.721569,0.573431,1.016197,1.315214
-0.694118,0.588319,1.031676,1.332342
-0.666667,0.603360,1.047200,1.349471
-0.639216,0.618170,1.062864,1.366595
-0.611765,0.632770,1.078802,1.383640
-0.584314,0.647443,1.094623,1.400516
-0.556863,0.662205,1.110243,1.417161
-0.529412,0.676925,1.125948,1.433851
-0.501961,0.691570,1.141867,1.450630
-0.474510,0.706172,1.157704,1.467438
-0.447059,0.720638,1.173354,1.484321
-0.419608,0.735216,1.189006,1.501254
-0.392157,0.749962,1.204804,1.518386
-0.364706,0.764709,1.220548,1.535749
-0.337255,0.779455,1.236007,1.553576
-0.309804,0.794202,1.251400,1.572363
-0.282353,0.808948,1.266914,1.592114
-0.254902,0.823694,1.282466,1.612546
-0.227451,0.838430,1.298083,1.633453
-0.200000,0.853175,1.313751,1.654492
-0.172549,0.867998,1.329486,1.675259
-0.145098,0.882872,1.345279,1.695604
-0.117647,0.897735,1.360902,1.715097
-0.090196,0.912595,1.376376,1.732537
-0.062745,0.927449,1.392093,1.748377
-0.035294,0.942298,1.407861,1.763386
-0.007843,0.957212,1.423628,1.777473
0.019608,0.972194,1.439395,1.791332
0.047059,0.987171,1.455126,1.805041
0.074510,1.002130,1.470615,1.818626
0.101961,1.017143,1.486208,1.832290
0.129412,1.032232,1.502040,1.846325
0.156863,1.047329,1.517709,1.860943
0.184314,1.062416,1.533249,1.876403
0.211765,1.077498,1.548789,1.892501
0.239216,1.092423,1.564330,1.908841
0.266667,1.107446,1.579870,1.925439
0.294118,1.122646,1.595411,1.942242
0.321569,1.137846,1.610951,1.959243
0.349020,1.153032,1.626691,1.976491
0.376471,1.168241,1.642495,1.993735
0.403922,1.183531,1.657969,2.010866
0.431373,1.198860,1.673356,2.027994
0.458824,1.214174,1.689012,2.045123
0.486275,1.229488,1.704702,2.062251
0.513725,1.244745,1.720043,2.079434
0.541176,1.259912,1.735357,2.096709
0.568627,1.275159,1.750663,2.113825
0.596078,1.290470,1.765968,2.130767
0.623529,1.305882,1.781343,2.148031
0.650980,1.321309,1.796782,2.165573
0.678431,1.336736,1.812214,2.182927
0.705882,1.352163,1.827641,2.200137
0.733333,1.367590,1.843033,2.217470
0.760784,1.383017,1.858187,2.235038
0.788235,1.398436,1.873425,2.252319
0.815686,1.413751,1.888893,2.269447
0.843137,1.429033,1.904267,2.286576
0.870588,1.444298,1.919395,2.303704
0.898039,1.459377,1.934382,2.320826
0.925490,1.474158,1.949211,2.337602
0.952941,1.488840,1.963835,2.354109
0.980392,1.503523,1.978154,2.370441
1.007843,1.518105,1.992182,2.386543
1.035294,1.532027,2.005943,2.402309
1.062745,1.545184,2.019439,2.417673
1.090196,1.558067,2.032637,2.432617
1.117647,1.570509,2.045422,2.446910
1.145098,1.582404,2.057763,2.460531
1.172549,1.593852,2.069371,2.473515
1.200000,1.604963,2.080211,2.486016
1.227451,1.615684,2.090552,2.498087
1.254902,1.625856,2.100552,2.509638
1.282353,1.635563,2.110304,2.520719
1.309804,1.644894,2.119661,2.531313
1.337255,1.653984,2.128632,2.541551
1.364706,1.662762,2.137171,2.551297
1.392157,1.671318,2.145477,2.560848
1.419608,1.679518,2.153535,2.570224
1.447059,1.687536,2.161433,2.579541
1.474510,1.695648,2.169460,2.588789
1.501961,1.703815,2.177691,2.597984
1.529412,1.711982,2.185755,2.607139
1.556863,1.720149,2.193696,2.616123
1.584314,1.728316,2.201636,2.625328
1.611765,1.736484,2.209577,2.634743
1.639216,1.744651,2.217517,2.644158
1.666667,1.752818,2.225518,2.653573
1.694118,1.760985,2.233628,2.662988
1.721569,1.769422,2.241901,2.672597
1.749020,1.778002,2.250196,2.682279
1.776471,1.786286,2.258366,2.691704
1.803922,1.794551,2.266533,2.701105
1.831373,1.803014,2.274700,2.710621
1.858824,1.811535,2.282867,2.720152
1.886275,1.820097,2.291010,2.729694
