# LogExposure,DensityR,DensityG,DensityB
-1.956863,0.308836,0.707081,1.021382
-1.929412,0.308836,0.707081,1.021382
-1.901961,0.308836,0.707081,1.021382
-1.874510,0.308836,0.707081,1.021382
-1.847059,0.308836,0.707081,1.021382
-1.819608,0.308836,0.707081,1.021382
-1.792157,0.308836,0.707081,1.021382
-1.764706,0.308836,0.707081,1.021382
-1.737255,0.308836,0.706688,1.021382
-1.709804,0.308836,0.706370,1.021382
-1.682353,0.308836,0.706691,1.021548
-1.654902,0.308836,0.707098,1.021934
-1.627451,0.309000,0.707491,1.022558
-1.600000,0.309417,0.708036,1.023630
-1.572549,0.310355,0.709745,1.025049
-1.545098,0.311921,0.712209,1.026559
-1.517647,0.313860,0.714768,1.028119
-1.490196,0.315980,0.717554,1.029925
-1.462745,0.318267,0.720751,1.032861
-1.435294,0.320827,0.724518,1.036400
-1.407843,0.324119,0.729145,1.040216
-1.380392,0.328099,0.734556,1.044736
-1.352941,0.332635,0.740466,1.050208
-1.325490,0.337664,0.746806,1.056504
-1.298039,0.343080,0.753541,1.063262
-1.270588,0.349149,0.760771,1.070385
-1.243137,0.355679,0.768644,1.077862
-1.215686,0.362436,0.776992,1.085857
-1.188235,0.369400,0.785896,1.094576
-1.160784,0.376730,0.795685,1.103804
-1.133333,0.384717,0.806152,1.113556
-1.105882,0.393359,0.817028,1.124148
-1.078431,0.402368,0.828189,1.135255
-1.050980,0.411654,0.839820,1.146713
-1.023529,0.421117,0.851951,1.158357
-0.996078,0.430741,0.864471,1.170137
-0.968627,0.440750,0.877393,1.182308
-0.941176,0.451516,0.890944,1.195442
-0.913725,0.462680,0.904692,1.209078
-0.886275,0.473934,0.918538,1.222829
-0.858824,0.485312,0.932450,1.236649
-0.831373,0.497077,0.946490,1.250677
-0.803922,0.509292,0.960828,1.264907
-0.776471,0.521646,0.975533,1.279284
-0.749020,0.534391,0.990252,1.293894
-0.721569,0.547789,1.004971,1.308798
-0.694118,0.561259,1.019690,1.323981
-0.666667,0.574617,1.034482,1.339359
-0.639216,0.587973,1.049458,1.354851
-0.611765,0.601268,1.064639,1.370456
-0.584314,0.614850,1.079971,1.386102
-0.556863,0.628842,1.095441,1.401799
-0.529412,0.642834,1.110857,1.417539
-0.501961,0.656826,1.126063,1.433362
-0.474510,0.670818,1.141197,1.449357
-0.447059,0.684810,1.156309,1.465614
-0.419608,0.698799,1.171346,1.481883
-0.392157,0.712603,1.186240,1.497894
-0.364706,0.726416,1.201151,1.514093
-0.337255,0.740317,1.216165,1.530641
-0.309804,0.754219,1.231117,1.547169
-0.282353,0.768120,1.246018,1.563627
-0.254902,0.782021,1.260919,1.580043
-0.227451,0.795922,1.275819,1.596407
-0.200000,0.809822,1.290690,1.612720
-0.172549,0.823712,1.305213,1.628957
-0.145098,0.837647,1.319656,1.645273
-0.117647,0.851644,1.334077,1.661627
-0.090196,0.865642,1.348611,1.677981
-0.062745,0.879634,1.363371,1.694336
-0.035294,0.893626,1.378050,1.710678
-0.007843,0.907618,1.392594,1.726937
0.019608,0.921750,1.406929,1.743077
0.047059,0.936432,1.420909,1.758978
0.074510,0.950736,1.435228,1.775187
0.101961,0.964719,1.449842,1.791550
0.129412,0.979155,1.464107,1.807973
0.156863,0.993850,1.478081,1.824419
0.184314,1.008287,1.492617,1.840887
0.211765,1.022603,1.507417,1.857423
0.239216,1.037212,1.521901,1.874126
0.266667,1.051996,1.536347,1.890844
0.294118,1.066430,1.550793,1.907561
0.321569,1.080753,1.565240,1.924279
0.349020,1.095253,1.579608,1.940866
0.376471,1.109813,1.593946,1.957362
0.403922,1.123979,1.608592,1.974212
0.431373,1.138003,1.623352,1.991274
0.458824,1.152585,1.637984,2.008438
0.486275,1.167238,1.652612,2.025616
0.513725,1.181748,1.667240,2.042630
0.541176,1.196144,1.681868,2.059605
0.568627,1.210328,1.696648,2.076978
0.596078,1.224496,1.711300,2.094298
0.623529,1.238779,1.725655,2.111025
0.650980,1.253021,1.740011,2.127741
0.678431,1.267195,1.754366,2.144652
0.705882,1.281369,1.768723,2.161534
0.733333,1.295542,1.783206,2.178335
0.760784,1.309715,1.797834,2.195157
0.788235,1.323829,1.812573,2.212066
0.815686,1.337851,1.827261,2.228951
0.843137,1.351843,1.841889,2.245766
0.870588,1.365835,1.856517,2.262548
0.898039,1.379827,1.871146,2.279217
0.925490,1.393878,1.885776,2.296043
0.952941,1.408603,1.900470,2.313145
0.980392,1.423177,1.915299,2.330219
1.007843,1.437538,1.930382,2.347187
1.035294,1.451846,1.945581,2.364294
1.062745,1.466062,1.960898,2.381873
1.090196,1.480475,1.976023,2.399085
1.117647,1.495117,1.990926,2.416077
1.145098,1.509823,2.005699,2.433010
1.172549,1.524548,2.020428,2.449916
1.200000,1.539249,2.035071,2.466731
1.227451,1.553875,2.049699,2.483416
1.254902,1.568263,2.064328,2.500257
1.282353,1.582208,2.078956,2.517246
1.309804,1.596591,2.093472,2.533761
1.337255,1.611198,2.107654,2.550207
1.364706,1.625501,2.121851,2.566652
1.392157,1.639660,2.136017,2.583097
1.419608,1.653663,2.150061,2.599383
1.447059,1.667655,2.163798,2.615370
1.474510,1.681647,2.177234,2.631523
1.501961,1.695639,2.190433,2.647708
1.529412,1.709631,2.203477,2.663561
1.556863,1.723623,2.216446,2.679199
1.584314,1.737601,2.229284,2.695105
1.611765,1.751457,2.242077,2.711142
1.639216,1.765178,2.255198,2.727323
1.666667,1.778898,2.268407,2.743646
1.694118,1.792617,2.281249,2.760090
1.721569,1.806337,2.293692,2.776536
1.749020,1.819932,2.305811,2.792981
1.776471,1.833413,2.317859,2.809427
1.803922,1.846878,2.329893,2.826557
1.831373,1.860302,2.341833,2.844387
1.858824,1.873616,2.353562,2.862350
1.886275,1.886805,2.365270,2.880383
1.913725,1.899783,2.377097,2.898586
1.941176,1.912539,2.388879,2.916683
1.968627,1.925024,2.400373,2.933697
