# LogExposure,DensityR,DensityG,DensityB
-1.956863,0.284273,0.690159,0.978906
-1.929412,0.284273,0.690037,0.978815
-1.901961,0.284273,0.689929,0.978092
-1.874510,0.284273,0.689911,0.976358
-1.847059,0.284273,0.690146,0.976469
-1.819608,0.284273,0.691084,0.978395
-1.792157,0.284273,0.692402,0.979794
-1.764706,0.284273,0.693935,0.980644
-1.737255,0.284310,0.695396,0.981349
-1.709804,0.285752,0.696449,0.981306
-1.682353,0.287802,0.697544,0.981898
-1.654902,0.289539,0.699326,0.984363
-1.627451,0.291334,0.702107,0.987623
-1.600000,0.293431,0.705862,0.990828
-1.572549,0.296459,0.710135,0.994314
-1.545098,0.300560,0.714567,0.998640
-1.517647,0.305001,0.719373,1.004095
-1.490196,0.309488,0.725142,1.010203
-1.462745,0.314093,0.731831,1.016764
-1.435294,0.319243,0.738823,1.023844
-1.407843,0.325562,0.746079,1.031319
-1.380392,0.332567,0.754066,1.039151
-1.352941,0.339760,0.762752,1.047472
-1.325490,0.347066,0.771755,1.056444
-1.298039,0.354493,0.780912,1.066132
-1.270588,0.362112,0.790772,1.076655
-1.243137,0.370432,0.801379,1.087621
-1.215686,0.379712,0.812347,1.098717
-1.188235,0.389601,0.823451,1.109852
-1.160784,0.399823,0.834647,1.121262
-1.133333,0.410273,0.845998,1.133484
-1.105882,0.420757,0.857665,1.146402
-1.078431,0.431185,0.869876,1.159416
-1.050980,0.441784,0.882839,1.172641
-1.023529,0.453235,0.896340,1.186287
-0.996078,0.465349,0.909949,1.200326
-0.968627,0.477432,0.923618,1.214761
-0.941176,0.489488,0.937338,1.229314
-0.913725,0.501828,0.951237,1.243917
-0.886275,0.514490,0.965628,1.258545
-0.858824,0.527218,0.980340,1.273426
-0.831373,0.539929,0.995215,1.288645
-0.803922,0.552861,1.010374,1.303963
-0.776471,0.566138,1.025772,1.319288
-0.749020,0.579561,1.041115,1.334718
-0.721569,0.592991,1.056347,1.350582
-0.694118,0.606484,1.071580,1.366571
-0.666667,0.620090,1.086812,1.382088
-0.639216,0.633892,1.102045,1.397548
-0.611765,0.647893,1.117277,1.413585
-0.584314,0.661901,1.132510,1.429874
-0.556863,0.675910,1.147864,1.445745
-0.529412,0.689918,1.163458,1.461443
-0.501961,0.703901,1.178816,1.477493
-0.474510,0.717762,1.194040,1.493712
-0.447059,0.731562,1.209234,1.509851
-0.419608,0.745302,1.224376,1.525927
-0.392157,0.758996,1.239276,1.541876
-0.364706,0.772613,1.253610,1.557662
-0.337255,0.786156,1.268066,1.573384
-0.309804,0.799459,1.282754,1.588958
-0.282353,0.812793,1.297443,1.604668
-0.254902,0.826367,1.312131,1.620761
