# LogExposure,DensityR,DensityG,DensityB
-2.396078,0.177595,0.577825,0.843883
-2.368627,0.178427,0.578513,0.844330
-2.341176,0.179101,0.579255,0.844914
-2.313725,0.179523,0.580122,0.845740
-2.286275,0.180161,0.580895,0.846399
-2.258824,0.180938,0.581211,0.846667
-2.231373,0.181715,0.581892,0.847189
-2.203922,0.182492,0.583054,0.847898
-2.176471,0.183336,0.583840,0.848704
-2.149020,0.184382,0.584389,0.849584
-2.121569,0.185219,0.585394,0.850239
-2.094118,0.185957,0.586454,0.850681
-2.066667,0.187022,0.587514,0.851041
-2.039216,0.188179,0.588573,0.851282
-2.011765,0.189365,0.589633,0.851075
-1.984314,0.190578,0.590692,0.850772
-1.956863,0.191927,0.592134,0.851454
-1.929412,0.193604,0.594170,0.852840
-1.901961,0.196043,0.596820,0.854700
-1.874510,0.199049,0.600035,0.857601
-1.847059,0.202263,0.603564,0.861263
-1.819608,0.205930,0.607438,0.865335
-1.792157,0.209814,0.611571,0.869524
-1.764706,0.213746,0.616014,0.873984
-1.737255,0.217739,0.620683,0.878505
-1.709804,0.222135,0.625560,0.883026
-1.682353,0.226869,0.630600,0.887547
-1.654902,0.231545,0.635825,0.892173
-1.627451,0.236386,0.641251,0.897055
-1.600000,0.241741,0.646850,0.902039
-1.572549,0.247110,0.652777,0.907195
-1.545098,0.252478,0.659054,0.912557
-1.517647,0.257849,0.665343,0.918075
-1.490196,0.263505,0.671558,0.923744
-1.462745,0.269334,0.677785,0.929561
-1.435294,0.275258,0.684271,0.935665
-1.407843,0.281520,0.691130,0.942218
-1.380392,0.288435,0.698770,0.949259
-1.352941,0.295630,0.707013,0.956589
-1.325490,0.303042,0.715620,0.964151
-1.298039,0.311145,0.724593,0.971967
-1.270588,0.319594,0.733871,0.980293
-1.243137,0.328136,0.743532,0.989241
-1.215686,0.336774,0.753581,0.999055
-1.188235,0.345706,0.763975,1.009504
-1.160784,0.355129,0.774783,1.020604
-1.133333,0.364967,0.786093,1.032346
-1.105882,0.375153,0.797903,1.044713
-1.078431,0.385613,0.810185,1.057660
-1.050980,0.396567,0.823155,1.071057
-1.023529,0.408210,0.836829,1.084814
-0.996078,0.420562,0.851479,1.099072
-0.968627,0.433224,0.866543,1.113752
-0.941176,0.446132,0.881556,1.128821
-0.913725,0.459165,0.896536,1.144057
-0.886275,0.472060,0.911439,1.159451
-0.858824,0.484916,0.926206,1.174914
-0.831373,0.497767,0.941273,1.190492
-0.803922,0.510621,0.956390,1.206114
-0.776471,0.523526,0.971507,1.221693
-0.749020,0.536462,0.986623,1.237220
-0.721569,0.549389,1.001643,1.252617
-0.694118,0.562316,1.016594,1.267903
-0.666667,0.575303,1.031678,1.283173
-0.639216,0.588305,1.046829,1.298263
-0.611765,0.601241,1.062113,1.312900
-0.584314,0.614150,1.077320,1.327513
-0.556863,0.626993,1.092355,1.342395
-0.529412,0.639892,1.107412,1.357095
-0.501961,0.653005,1.122498,1.371332
-0.474510,0.665978,1.137717,1.385863
-0.447059,0.678793,1.152975,1.400573
-0.419608,0.691756,1.168233,1.415208
-0.392157,0.704754,1.183491,1.429809
-0.364706,0.717751,1.198785,1.444556
-0.337255,0.730749,1.214132,1.459319
-0.309804,0.743789,1.229251,1.474083
-0.282353,0.756872,1.244259,1.488846
-0.254902,0.769878,1.259577,1.503440
-0.227451,0.782872,1.274906,1.517973
-0.200000,0.795940,1.290149,1.532956
-0.172549,0.809002,1.305431,1.547890
-0.145098,0.821908,1.320760,1.562416
-0.117647,0.834881,1.336088,1.577024
-0.090196,0.848060,1.351417,1.591903
-0.062745,0.861123,1.366729,1.606607
-0.035294,0.874120,1.381903,1.620923
-0.007843,0.887118,1.397035,1.635578
0.019608,0.900115,1.412127,1.650560
0.047059,0.913139,1.427372,1.665234
0.074510,0.926226,1.442730,1.679737
0.101961,0.939248,1.457994,1.694567
0.129412,0.952234,1.473250,1.709510
0.156863,0.965349,1.488576,1.724084
0.184314,0.978497,1.503905,1.738632
0.211765,0.991420,1.519233,1.753325
0.239216,1.004366,1.534559,1.768018
0.266667,1.017435,1.549505,1.782710
0.294118,1.030503,1.564546,1.797397
0.321569,1.043571,1.579890,1.811931
0.349020,1.056640,1.595191,1.826527
0.376471,1.069717,1.610439,1.841414
0.403922,1.082754,1.625729,1.856106
0.431373,1.095746,1.641070,1.870415
0.458824,1.108740,1.656368,1.885135
0.486275,1.121738,1.671622,1.900207
0.513725,1.134735,1.686828,1.914860
0.541176,1.147733,1.702006,1.929371
0.568627,1.160775,1.717237,1.944170
0.596078,1.173857,1.732508,1.959016
0.623529,1.186797,1.747832,1.973714
0.650980,1.199723,1.763160,1.988411
0.678431,1.212800,1.778408,2.003377
0.705882,1.225851,1.793685,2.018345
0.733333,1.238848,1.809014,2.032994
0.760784,1.251846,1.824343,2.047787
0.788235,1.264843,1.839681,2.062984
0.815686,1.277828,1.854982,2.077948
0.843137,1.290730,1.870235,2.092783
0.870588,1.303703,1.885486,2.107617
0.898039,1.316700,1.900739,2.122451
0.925490,1.329698,1.916038,2.137323
0.952941,1.342695,1.931375,2.152254
0.980392,1.355646,1.946705,2.166968
1.007843,1.368463,1.962034,2.181454
1.035294,1.381163,1.977327,2.195879
1.062745,1.393652,1.992321,2.210280
1.090196,1.405968,2.006899,2.224666
1.117647,1.418235,2.021436,2.238951
1.145098,1.430484,2.036061,2.253035
1.172549,1.442650,2.050680,2.267049
1.200000,1.454614,2.065272,2.281051
1.227451,1.466464,2.079487,2.294985
1.254902,1.478266,2.093544,2.308674
1.282353,1.490025,2.107601,2.322024
1.309804,1.501696,2.121658,2.335304
1.337255,1.513166,2.135632,2.348584
1.364706,1.524440,2.149269,2.361864
1.392157,1.535639,2.162861,2.375021
1.419608,1.546791,2.176415,2.387859
1.447059,1.557866,2.189882,2.400711
1.474510,1.568858,2.203281,2.413567
1.501961,1.579750,2.216580,2.426423
1.529412,1.590621,2.229852,2.439280
1.556863,1.601589,2.243440,2.451914
1.584314,1.612501,2.256940,2.464251
1.611765,1.623129,2.270056,2.476494
1.639216,1.633653,2.283020,2.488669
1.666667,1.644166,2.295906,2.500819
1.694118,1.654424,2.308645,2.512983
1.721569,1.664368,2.321154,2.525186
1.749020,1.674234,2.333491,2.537096
1.776471,1.684051,2.345635,2.548703
1.803922,1.693760,2.357541,2.560341
1.831373,1.703180,2.369225,2.571997
1.858824,1.712227,2.380766,2.583197
1.886275,1.720969,2.392072,2.593324
