# LogExposure,DensityR,DensityG,DensityB
-2.368627,0.190499,0.584838,0.840567
-2.341176,0.191177,0.585032,0.841214
-2.313725,0.192016,0.585746,0.841914
-2.286275,0.192857,0.586423,0.842617
-2.258824,0.193304,0.586925,0.842846
-2.231373,0.193904,0.587402,0.843253
-2.203922,0.195028,0.587792,0.844401
-2.176471,0.195966,0.588348,0.845303
-2.149020,0.196613,0.589501,0.845812
-2.121569,0.197456,0.590453,0.846568
-2.094118,0.198436,0.591150,0.847696
-2.066667,0.199548,0.592231,0.848211
-2.039216,0.200678,0.593536,0.848371
-2.011765,0.201809,0.594884,0.848417
-1.984314,0.202939,0.596320,0.848382
-1.956863,0.204428,0.598110,0.849079
-1.929412,0.206690,0.600644,0.850900
-1.901961,0.209335,0.603739,0.853270
-1.874510,0.212469,0.607406,0.856392
-1.847059,0.215982,0.611440,0.860144
-1.819608,0.219719,0.615631,0.864408
-1.792157,0.223608,0.619922,0.869030
-1.764706,0.227726,0.624516,0.873553
-1.737255,0.232081,0.629454,0.877851
-1.709804,0.236602,0.634498,0.882451
-1.682353,0.241263,0.639617,0.887280
-1.654902,0.246017,0.645063,0.892053
-1.627451,0.250997,0.650904,0.896775
-1.600000,0.256579,0.656911,0.901620
-1.572549,0.262232,0.662999,0.906775
-1.545098,0.267885,0.669223,0.912166
-1.517647,0.273537,0.675539,0.917934
-1.490196,0.279216,0.681967,0.924065
-1.462745,0.284973,0.688518,0.930342
-1.435294,0.291190,0.695199,0.936708
-1.407843,0.297843,0.702586,0.943217
-1.380392,0.304665,0.710830,0.950159
-1.352941,0.311990,0.719339,0.957464
-1.325490,0.319883,0.727888,0.965161
-1.298039,0.328179,0.736755,0.973231
-1.270588,0.336647,0.746349,0.981904
-1.243137,0.345220,0.756367,0.991358
-1.215686,0.353955,0.766681,1.001642
-1.188235,0.363136,0.777360,1.012497
-1.160784,0.372846,0.788443,1.023855
-1.133333,0.382677,0.799900,1.035850
-1.105882,0.392773,0.811911,1.048516
-1.078431,0.403504,0.824521,1.061842
-1.050980,0.414911,0.837969,1.075652
-1.023529,0.426547,0.852108,1.089823
-0.996078,0.438797,0.866923,1.104476
-0.968627,0.451660,0.882186,1.119590
-0.941176,0.464510,0.897449,1.134896
-0.913725,0.477319,0.912711,1.150292
-0.886275,0.490069,0.927929,1.165715
-0.858824,0.502788,0.942636,1.181169
